epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,174.44,0.91706,0.64265,0.96118,0.79947,0.58707,0.71719,0.46541,1.19263,1.09943,1.37537,0.00023525,0.00023525,0.00023525
84,176.517,0.93635,0.64613,0.98057,0.73458,0.69868,0.75491,0.46801,1.15083,1.07838,1.33886,0.000222875,0.000222875,0.000222875
85,178.582,0.88905,0.61176,0.99204,0.60117,0.82535,0.75026,0.48613,1.14489,1.01785,1.3177,0.0002105,0.0002105,0.0002105
86,180.766,0.90458,0.62421,0.95492,0.67761,0.80453,0.75667,0.46565,1.14881,1.05543,1.30876,0.000198125,0.000198125,0.000198125
87,183.015,0.9115,0.62783,0.97582,0.75995,0.77459,0.77513,0.49022,1.17568,1.06386,1.31988,0.00018575,0.00018575,0.00018575
88,185.178,0.88604,0.62469,0.96644,0.74983,0.80865,0.76698,0.47089,1.1268,1.05023,1.29485,0.000173375,0.000173375,0.000173375
89,187.288,0.9035,0.60652,0.94384,0.70439,0.76042,0.74813,0.45277,1.09814,1.06506,1.27265,0.000161,0.000161,0.000161
90,189.446,0.92057,0.63018,0.9692,0.74872,0.69324,0.74992,0.45704,1.12974,1.05993,1.30162,0.000148625,0.000148625,0.000148625
91,205.331,0.89933,0.6269,0.95043,0.80718,0.61857,0.74457,0.44841,1.15016,1.0956,1.31395,0.00013625,0.00013625,0.00013625
92,207.403,0.87025,0.61283,0.93171,0.65927,0.73276,0.71528,0.43739,1.18034,1.18837,1.34802,0.000123875,0.000123875,0.000123875
93,209.38,0.93531,0.66498,0.94637,0.70743,0.69415,0.70397,0.40911,1.18327,1.15945,1.3649,0.0001115,0.0001115,0.0001115
94,211.489,0.87086,0.61384,0.96081,0.69663,0.6763,0.68105,0.40694,1.16172,1.19073,1.35468,9.9125e-05,9.9125e-05,9.9125e-05
95,213.672,0.89301,0.60146,0.94789,0.71483,0.70462,0.69779,0.42852,1.11743,1.17133,1.31613,8.675e-05,8.675e-05,8.675e-05
96,215.811,0.86682,0.59473,0.92812,0.72151,0.69885,0.71981,0.45729,1.06772,1.12561,1.28112,7.4375e-05,7.4375e-05,7.4375e-05
97,217.873,0.82468,0.56389,0.92317,0.67398,0.72328,0.72829,0.46818,1.05406,1.10881,1.25957,6.2e-05,6.2e-05,6.2e-05
98,219.927,0.81385,0.56229,0.90131,0.71409,0.70041,0.72907,0.47109,1.06063,1.04862,1.26313,4.9625e-05,4.9625e-05,4.9625e-05
99,221.96,0.82871,0.56954,0.9192,0.73384,0.68011,0.73067,0.47566,1.07105,1.04029,1.26885,3.725e-05,3.725e-05,3.725e-05
100,224.033,0.86161,0.57697,0.93992,0.69752,0.70451,0.72697,0.46916,1.07617,1.03978,1.27467,2.4875e-05,2.4875e-05,2.4875e-05
