epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,206.021,1.11644,0.81429,1.07244,0.60913,0.50167,0.63435,0.40332,1.28205,1.20638,1.48245,0.000495125,0.000495125,0.000495125
63,209.426,1.11847,0.79859,1.05352,0.62657,0.59458,0.64174,0.3848,1.36956,1.04478,1.61378,0.00048275,0.00048275,0.00048275
64,212.876,1.13554,0.79182,1.05213,0.65947,0.50371,0.59339,0.34903,1.43663,1.07132,1.59854,0.000470375,0.000470375,0.000470375
65,216.158,1.08674,0.78091,1.04082,0.67669,0.59245,0.66712,0.39082,1.37713,1.19997,1.53249,0.000458,0.000458,0.000458
66,219.404,1.07241,0.78326,1.04769,0.67117,0.65438,0.66607,0.38936,1.25627,1.32169,1.36694,0.000445625,0.000445625,0.000445625
67,222.75,1.07969,0.81557,1.03423,0.64032,0.55192,0.58244,0.35681,1.34046,1.29908,1.55434,0.00043325,0.00043325,0.00043325
68,226.163,1.10027,0.77967,1.05389,0.66225,0.59209,0.6403,0.36861,1.41708,1.14722,1.65967,0.000420875,0.000420875,0.000420875
69,229.726,1.03962,0.73531,1.03681,0.67952,0.54844,0.59945,0.35805,1.38418,1.18999,1.62241,0.0004085,0.0004085,0.0004085
70,233.284,1.03426,0.73808,1.02548,0.64839,0.61989,0.64249,0.38375,1.26329,1.34512,1.42199,0.000396125,0.000396125,0.000396125
71,236.712,1.03207,0.70794,1.02424,0.76447,0.56483,0.67516,0.39857,1.34947,1.2316,1.56316,0.00038375,0.00038375,0.00038375
72,239.985,1.05891,0.73135,1.02971,0.63411,0.68825,0.66451,0.37706,1.53643,1.17884,1.83319,0.000371375,0.000371375,0.000371375
73,243.266,0.99887,0.70933,1.02066,0.66663,0.64456,0.65261,0.36978,1.46307,1.24578,1.73566,0.000359,0.000359,0.000359
74,246.609,0.96308,0.68129,0.99784,0.63335,0.66913,0.65076,0.39278,1.35289,1.41987,1.56004,0.000346625,0.000346625,0.000346625
75,249.923,1.01101,0.70775,1.01847,0.65601,0.66563,0.66838,0.40318,1.43164,1.17144,1.69892,0.00033425,0.00033425,0.00033425
76,253.243,1.00998,0.71077,1.02538,0.64029,0.66394,0.65404,0.36976,1.42359,1.26942,1.66527,0.000321875,0.000321875,0.000321875
77,256.7,1.05303,0.72184,1.034,0.68335,0.67057,0.6763,0.37637,1.39754,1.24237,1.66743,0.0003095,0.0003095,0.0003095
78,260.081,1.0135,0.7069,1.00618,0.76283,0.57232,0.69279,0.40422,1.32551,1.21409,1.61572,0.000297125,0.000297125,0.000297125
79,263.492,0.97646,0.67574,0.9914,0.66648,0.6706,0.68193,0.41333,1.30604,1.16178,1.6204,0.00028475,0.00028475,0.00028475
80,266.806,1.01948,0.67617,0.99565,0.71473,0.59074,0.67777,0.40673,1.30658,1.06908,1.59945,0.000272375,0.000272375,0.000272375
81,270.149,1.00392,0.69164,1.01203,0.61251,0.69217,0.67161,0.39331,1.36244,1.12449,1.67515,0.00026,0.00026,0.00026
82,273.412,0.96942,0.68349,1.00287,0.667,0.66238,0.67221,0.3815,1.32437,1.12521,1.57806,0.000247625,0.000247625,0.000247625
83,276.688,0.95835,0.68145,0.99006,0.58021,0.70756,0.65199,0.36971,1.33296,1.1592,1.62059,0.00023525,0.00023525,0.00023525
84,279.926,0.99092,0.69248,1.01605,0.72728,0.61492,0.69678,0.39042,1.34705,1.22337,1.57854,0.000222875,0.000222875,0.000222875
85,283.187,0.93148,0.64881,1.0208,0.72315,0.68707,0.71796,0.43871,1.34598,1.14737,1.59846,0.0002105,0.0002105,0.0002105
86,286.649,0.96582,0.66691,0.99169,0.64679,0.65956,0.66305,0.44031,1.31592,1.15666,1.60726,0.000198125,0.000198125,0.000198125
87,290.018,0.96479,0.66848,1.00929,0.66043,0.65863,0.69807,0.42777,1.31361,1.15827,1.59646,0.00018575,0.00018575,0.00018575
88,293.335,0.93207,0.65152,0.9969,0.74181,0.62535,0.70304,0.42101,1.31412,1.05782,1.59287,0.000173375,0.000173375,0.000173375
89,296.669,0.94173,0.63821,0.97057,0.76519,0.62306,0.70309,0.42179,1.32263,1.06554,1.59539,0.000161,0.000161,0.000161
90,300.107,0.96906,0.66016,0.99259,0.6591,0.68001,0.6933,0.42557,1.31653,1.05082,1.61018,0.000148625,0.000148625,0.000148625
91,318.812,0.93901,0.65003,0.98052,0.73728,0.68993,0.71192,0.44362,1.2669,1.19567,1.49359,0.00013625,0.00013625,0.00013625
92,322.083,0.92381,0.64743,0.97545,0.71332,0.64668,0.67906,0.40213,1.30571,1.28786,1.48809,0.000123875,0.000123875,0.000123875
93,325.328,0.96329,0.68149,0.97146,0.67715,0.63333,0.63728,0.3827,1.32077,1.2398,1.4615,0.0001115,0.0001115,0.0001115
94,328.669,0.89857,0.64341,0.97532,0.69138,0.59557,0.64976,0.3827,1.28902,1.20348,1.42098,9.9125e-05,9.9125e-05,9.9125e-05
95,331.886,0.94164,0.62607,0.97688,0.64061,0.6447,0.65068,0.37901,1.3125,1.20086,1.44326,8.675e-05,8.675e-05,8.675e-05
96,335.138,0.90839,0.63149,0.95776,0.64405,0.70353,0.64103,0.36914,1.26242,1.21469,1.40637,7.4375e-05,7.4375e-05,7.4375e-05
97,338.465,0.84289,0.58334,0.94739,0.67161,0.67436,0.68592,0.35844,1.24448,1.25269,1.40679,6.2e-05,6.2e-05,6.2e-05
98,341.803,0.84974,0.59038,0.92979,0.62477,0.61817,0.63212,0.3499,1.26034,1.33351,1.43547,4.9625e-05,4.9625e-05,4.9625e-05
99,345.151,0.84562,0.59307,0.94026,0.66527,0.66471,0.6666,0.36145,1.24452,1.32731,1.41994,3.725e-05,3.725e-05,3.725e-05
100,348.468,0.90184,0.60862,0.9723,0.67032,0.67926,0.68641,0.37472,1.24845,1.28281,1.43026,2.4875e-05,2.4875e-05,2.4875e-05
