epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,6172.12,1.43746,1.08474,1.00452,0.08801,0.22738,0.0466,0.02493,0.51617,651.362,0.3709,0.003268,0.003268,0.003268
70,6257.91,1.43078,1.07801,1.0005,0.08653,0.23288,0.04707,0.02531,0.51655,648.982,0.37096,0.003169,0.003169,0.003169
71,6344.23,1.42318,1.06768,0.99531,0.08717,0.23314,0.04776,0.02573,0.51402,648.226,0.37,0.00307,0.00307,0.00307
72,6431.37,1.43004,1.07381,0.99893,0.08858,0.22418,0.04708,0.02523,0.51431,650.77,0.37,0.002971,0.002971,0.002971
73,6518.51,1.42372,1.06996,0.99582,0.08719,0.23359,0.0472,0.02533,0.51283,653.045,0.36919,0.002872,0.002872,0.002872
74,6605.21,1.42556,1.06977,0.99694,0.09082,0.22791,0.04754,0.02539,0.51285,655.066,0.36903,0.002773,0.002773,0.002773
75,6690.76,1.41813,1.0672,0.9944,0.08803,0.23219,0.04764,0.02563,0.51412,657.529,0.36936,0.002674,0.002674,0.002674
76,6777.36,1.42242,1.06872,0.99565,0.08795,0.22958,0.04712,0.02522,0.51317,660.573,0.36973,0.002575,0.002575,0.002575
77,6868.35,1.42568,1.07111,0.99759,0.08907,0.22998,0.04736,0.02546,0.51193,658.954,0.36895,0.002476,0.002476,0.002476
78,6958.62,1.42168,1.06488,0.99339,0.08805,0.22916,0.04721,0.02536,0.51251,655.265,0.36932,0.002377,0.002377,0.002377
79,7046.58,1.41053,1.05829,0.99149,0.08914,0.22513,0.04748,0.02547,0.51187,666.083,0.3693,0.002278,0.002278,0.002278
80,7135.61,1.40922,1.0498,0.99386,0.08819,0.23275,0.0476,0.02554,0.51078,663.996,0.36833,0.002179,0.002179,0.002179
81,7221.48,1.4032,1.0491,0.99166,0.08951,0.22951,0.04788,0.02589,0.51124,670.639,0.36844,0.00208,0.00208,0.00208
82,7307.83,1.40938,1.05557,0.99381,0.08714,0.23671,0.04774,0.02571,0.51105,666.612,0.36851,0.001981,0.001981,0.001981
83,7395.56,1.4109,1.05263,0.9914,0.08745,0.23827,0.04776,0.02575,0.51066,667.179,0.36848,0.001882,0.001882,0.001882
84,7484.46,1.40742,1.04881,0.99168,0.09104,0.233,0.04764,0.0256,0.51048,669.282,0.36838,0.001783,0.001783,0.001783
85,7574.25,1.40133,1.04391,0.99144,0.09092,0.23445,0.04821,0.02589,0.51007,667.566,0.36835,0.001684,0.001684,0.001684
86,7663.26,1.40999,1.05045,0.98929,0.09022,0.23416,0.04832,0.02594,0.50974,670.532,0.36806,0.001585,0.001585,0.001585
87,7752.47,1.39572,1.03573,0.98638,0.09226,0.2302,0.04821,0.02593,0.50951,671.019,0.36801,0.001486,0.001486,0.001486
88,7841.62,1.3981,1.03951,0.98995,0.08966,0.23515,0.04806,0.02568,0.50883,671.54,0.36788,0.001387,0.001387,0.001387
89,7927.21,1.38892,1.02903,0.98611,0.0865,0.24204,0.04785,0.02557,0.50944,671.115,0.36787,0.001288,0.001288,0.001288
90,8013.26,1.39139,1.03079,0.98858,0.08859,0.23536,0.04771,0.02561,0.50929,673.966,0.36804,0.001189,0.001189,0.001189
91,8106.53,1.37195,1.01404,0.99465,0.08796,0.23504,0.04763,0.02561,0.51084,661.889,0.36818,0.00109,0.00109,0.00109
92,8186.65,1.35996,1.00079,0.9909,0.08822,0.23252,0.04728,0.02545,0.51123,660.238,0.36811,0.000991,0.000991,0.000991
93,8269.73,1.35982,0.99602,0.98739,0.0878,0.23247,0.04739,0.02543,0.51089,662.23,0.36788,0.000892,0.000892,0.000892
94,8352.07,1.3514,0.98764,0.98932,0.08653,0.23405,0.0472,0.02524,0.51051,666.042,0.36787,0.000793,0.000793,0.000793
95,8435.3,1.35326,0.98655,0.98695,0.0874,0.23146,0.04719,0.02526,0.51042,669.518,0.36796,0.000694,0.000694,0.000694
96,8517.66,1.34554,0.98046,0.98544,0.08872,0.22934,0.04719,0.02522,0.51026,671.043,0.36804,0.000595,0.000595,0.000595
97,8600.63,1.34652,0.98172,0.9856,0.08806,0.23259,0.04735,0.02533,0.51014,672.919,0.36785,0.000496,0.000496,0.000496
98,8680.55,1.3416,0.9768,0.98565,0.08698,0.23456,0.04726,0.02525,0.50999,674.008,0.36778,0.000397,0.000397,0.000397
99,8760.18,1.34386,0.97994,0.98365,0.08832,0.23054,0.04722,0.02524,0.50996,675.599,0.36779,0.000298,0.000298,0.000298
100,8839.01,1.34533,0.97749,0.98327,0.08848,0.23052,0.04711,0.02522,0.51016,677.354,0.3678,0.000199,0.000199,0.000199
