epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,6996.27,1.42508,1.06031,0.99826,0.08208,0.24534,0.04763,0.02571,0.51484,651.511,0.37057,0.002179,0.002179,0.002179
81,7084.79,1.4201,1.05921,0.99599,0.08251,0.24576,0.04809,0.02615,0.51413,657.409,0.36964,0.00208,0.00208,0.00208
82,7173.74,1.42632,1.06678,0.998,0.08322,0.24482,0.04732,0.02563,0.51391,652.837,0.36996,0.001981,0.001981,0.001981
83,7262.76,1.4261,1.06441,0.99474,0.08448,0.24364,0.04767,0.02581,0.51504,656.515,0.3699,0.001882,0.001882,0.001882
84,7351.88,1.42571,1.06276,0.99523,0.08538,0.24239,0.04764,0.02576,0.51547,661.605,0.36981,0.001783,0.001783,0.001783
85,7440.21,1.4276,1.0636,0.99514,0.08536,0.2446,0.04764,0.02589,0.5175,663.609,0.36992,0.001684,0.001684,0.001684
86,7529.84,1.44445,1.07865,0.992,0.08564,0.24262,0.04783,0.02594,0.52117,666.633,0.3695,0.001585,0.001585,0.001585
87,7619.52,1.43667,1.06856,0.98931,0.08463,0.24159,0.04818,0.02618,0.52414,667.587,0.36964,0.001486,0.001486,0.001486
88,7711.09,1.44135,1.07811,0.99147,0.08451,0.246,0.04837,0.02631,0.52516,666.501,0.36919,0.001387,0.001387,0.001387
89,7802.42,1.43576,1.07169,0.98744,0.08484,0.24307,0.04835,0.02628,0.52587,669.775,0.36881,0.001288,0.001288,0.001288
90,7892.19,1.43968,1.07481,0.99021,0.08508,0.23879,0.04816,0.02621,0.52568,671.854,0.3688,0.001189,0.001189,0.001189
91,7993.46,1.41996,1.06103,0.99594,0.08592,0.23906,0.04838,0.02627,0.5284,660.767,0.36945,0.00109,0.00109,0.00109
92,8074.83,1.40907,1.04808,0.99162,0.08564,0.23866,0.04841,0.0263,0.52937,662.392,0.36949,0.000991,0.000991,0.000991
93,8158.55,1.41126,1.04685,0.9883,0.08545,0.23921,0.04837,0.02621,0.52931,660.592,0.36902,0.000892,0.000892,0.000892
94,8240.84,1.40127,1.03898,0.98974,0.08637,0.23942,0.04821,0.0261,0.53006,663.359,0.36916,0.000793,0.000793,0.000793
95,8321.9,1.40395,1.03813,0.98786,0.08477,0.24276,0.04825,0.02616,0.5295,666.163,0.36886,0.000694,0.000694,0.000694
96,8400.71,1.39592,1.03218,0.98584,0.0847,0.24347,0.04817,0.02613,0.52894,670.128,0.36864,0.000595,0.000595,0.000595
97,8480.15,1.3964,1.03422,0.98569,0.08487,0.24481,0.04786,0.02591,0.52906,672.931,0.36878,0.000496,0.000496,0.000496
98,8560.22,1.39234,1.02773,0.98647,0.08553,0.24223,0.04759,0.02572,0.52898,675.839,0.36888,0.000397,0.000397,0.000397
99,8640.16,1.3953,1.03136,0.98386,0.08653,0.2395,0.04774,0.02586,0.52902,677.495,0.36865,0.000298,0.000298,0.000298
100,8719.79,1.39399,1.02724,0.98371,0.08578,0.24125,0.04758,0.02579,0.52932,679.788,0.3687,0.000199,0.000199,0.000199
